1;55,74450519;37,47107095;Детский садик №1;Сказка;100 мест;15 воспитателей
2;55,76606233;37,61196929;Детский садик №2;Солнышко;300 мест;20 воспитателей
3;55,73521377;37,58182767;Детский садик №3;Русалочка;мест нет;50 воспитателей
4;55,6494652;37,73822855;Детский садик №4;Богатырь;500 мест;23 воспитателя
5;55,79697945;37,71642498;Детский садик №5;Золушка;1500 мест;13 воспитателей
6;55,87538245;37,46070433;Детский садик №6;Теремок;650 мест;20 воспитателей
7;55,53715833;37,57863974;Детский садик №7;Аленушка;50 мест;50 воспитателей
8;55,66675874;37,82915565;Детский садик №8;Камелия;500 мест;23 воспитателя
9;55,76696724;37,65220725;Детский садик №9;Одуванчик;2000 мест;13 воспитателей
10;55,74112538;37,70898744;Детский садик №10;Березка;400 мест;15 воспитателей
11;55,77436558;37,56190885;Детский садик №11;Улыбка;460 мест;20 воспитателей
12;55,56008556;37,5762267;Детский садик №12;Самолетик;500 мест;50 воспитателей
13;55,7357416;37,80006998;Детский садик №13;Сказка;700 мест;15 воспитателей
14;55,71310762;37,64419826;Детский садик №14;Солнышко;мест нет;20 воспитателей
15;55,75583568;37,7215604;Детский садик №15;Русалочка;500 мест;50 воспитателей
16;55,77706495;37,43667972;Детский садик №16;Богатырь;1500 мест;24 воспитателя
17;55,67551262;37,64606961;Детский садик №17;Золушка;650 мест;13 воспитателей
18;55,72851589;37,71251959;Детский садик №18;Теремок;500 мест;20 воспитателей
19;55,74844336;37,47358847;Детский садик №19;Аленушка;700 мест;50 воспитателей
20;55,6663806;37,78978782;Детский садик №20;Камелия;мест нет;24 воспитателя
21;55,57734305;37,69080345;Детский садик №21;Одуванчик;500 мест;15 воспитателей
22;55,70011245;37,69933043;Детский садик №22;Березка;1500 мест;20 воспитателей
23;55,87832002;37,69064059;Детский садик №23;Улыбка;650 мест;50 воспитателей
24;55,78483614;37,72551901;Детский садик №24;Самолетик;50 мест;24 воспитателя
25;55,57554838;37,63090574;Детский садик №25;Сказка;500 мест;13 воспитателей
26;55,65192821;37,45301136;Детский садик №26;Солнышко;2000 мест;20 воспитателей
27;55,75350956;37,8302104;Детский садик №27;Русалочка;400 мест;50 воспитателей
28;55,81016105;37,74466671;Детский садик №28;Богатырь;460 мест;24 воспитателя
29;55,86193094;37,63669836;Детский садик №29;Золушка;500 мест;13 воспитателей
30;55,74285274;37,47364746;Детский садик №30;Теремок;700 мест;15 воспитателей
31;55,59931184;37,70615407;Детский садик №31;Аленушка;мест нет;20 воспитателей
32;55,80678296;37,67470886;Детский садик №32;Камелия;500 мест;50 воспитателей
33;55,94806663;37,34836446;Детский садик №33;Одуванчик;1500 мест;15 воспитателей
34;55,78300171;37,59003354;Детский садик №34;Березка;650 мест;20 воспитателей
35;55,84351298;37,50446194;Детский садик №35;Улыбка;900 мест;50 воспитателей
36;55,72263861;37,41780856;Детский садик №36;Самолетик;1100 мест;25 воспитателя
37;55,74712822;37,63139162;Детский садик №37;Сказка;мест нет;13 воспитателей
38;55,65418586;37,49735436;Детский садик №38;Солнышко;500 мест;20 воспитателей
39;55,75520699;37,55087738;Детский садик №39;Русалочка;1500 мест;50 воспитателей
40;55,87579786;37,634764;Детский садик №40;Богатырь;650 мест;25 воспитателя
41;55,78967116;37,46398002;Детский садик №41;Золушка;50 мест;15 воспитателей
42;55,92644206;37,55596196;Детский садик №42;Теремок;500 мест;20 воспитателей
43;55,77168123;37,71223297;Детский садик №43;Аленушка;2000 мест;50 воспитателей
